,TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
1341,T21343,C6630360,1981-06-24,M,BANGALORE,67.87,2016-09-23,200417,173.0
1342,T21344,C4925738,1984-08-24,F,GAUTAM BUDDHANAGAR,2391.91,2016-09-23,200642,600.0
1343,T21345,C6424151,1976-06-19,M,MUMBAI,32193.22,2016-09-23,201652,100.0
1344,T21346,C7636986,1986-05-02,M,PUNE,28565.31,2016-09-23,201118,610.0
1345,T21347,C6021961,1974-03-29,M,KOLKATA,304610.84,2016-09-23,202659,1300.0
1346,T21348,C2369880,1990-07-11,M,NEW DELHI,51209.88,2016-09-23,204030,70.0
1347,T21349,C2923583,1993-05-18,F,GUNTUR,2501.15,2016-09-23,133231,850.0
1348,T21350,C5677854,1995-08-11,M,KASHIPUR,15677.93,2016-09-23,134123,1500.0
1349,T21351,C8326767,1989-01-15,F,HYDERABAD,3397.91,2016-09-23,113042,45.0
1350,T21352,C3636276,1982-06-26,F,JODHPUR,253.39,2016-09-23,203826,1330.0
1351,T21353,C8517934,1984-12-09,F,NEW DELHI,5316.91,2016-09-23,202703,2865.0
1352,T21354,C2597333,1989-03-07,M,THANE,251312.42,2016-09-23,202713,500.0
1353,T21355,C2439456,1976-10-12,M,GURGAON,17682.2,2016-09-23,202951,2790.0
1354,T21356,C6568992,1990-03-21,M,SBS NAGAR,66648.08,2016-09-23,200415,633.0
1355,T21357,C5632934,1983-11-08,M,DEHRADUN,5518.01,2016-09-23,200616,99.0
1356,T21358,C1513359,1991-06-05,F,RAIPUR,60045.3,2016-09-23,201048,2200.0
1357,T21359,C3137536,1976-09-17,M,NEW DELHI,34998.09,2016-09-23,185348,443.0
1358,T21360,C5841643,1958-01-14,M,RANCHI,22483.69,2016-09-23,185356,489.0
1360,T21362,C2664280,1988-11-04,F,DELHI,47.95,2016-09-23,190528,642.0
1361,T21363,C2734266,1969-02-09,F,GURGAON,631030.56,2016-09-23,190534,633.0
1362,T21364,C9041445,1977-06-09,M,THANE,6918.82,2016-09-23,132731,397.0
1363,T21365,C4136913,1994-05-02,M,NEW DELHI,18574.57,2016-09-23,132816,100.0
1364,T21366,C1864336,1997-06-24,M,NEW DELHI,14742.23,2016-09-23,132818,66.0
1365,T21367,C7628027,1985-04-12,F,KOCHI,28.74,2016-09-23,131056,150.0
1366,T21368,C9035251,1987-09-19,M,CHANDIGARH,14647.26,2016-09-23,204020,398.0
1367,T21369,C1212769,1991-08-01,M,NEW DELHI,35301.88,2016-09-23,185105,100.0
1368,T21370,C6693525,1989-10-19,M,GURGAON,8893.51,2016-09-23,184210,727.0
1369,T21371,C3332257,1990-12-01,M,KOLKATA,29493.81,2016-09-23,204300,520.0
1370,T21372,C6258030,1992-08-21,F,VIRUDHUNAGAR,9277.27,2016-09-23,204351,497.0
1371,T21373,C2224871,1988-05-07,M,SONIPAT,6746.84,2016-09-23,205126,300.0
1372,T21374,C3938830,1987-07-05,M,DUBAI,53713.84,2016-09-23,203125,276.0
1373,T21375,C7525241,1990-09-24,M,NEW DELHI,22876.3,2016-09-23,203139,440.0
1374,T21376,C4424342,1989-10-04,M,DELHI,2078.05,2016-09-23,184827,657.3
1375,T21377,C6532135,1992-01-01,M,BAHADURGARH,3203.85,2016-09-23,192131,500.0
1376,T21378,C2965539,1991-10-07,M,NEW DELHI,22878.14,2016-09-23,191409,200.0
1377,T21379,C5311475,1974-07-20,F,GURGAON,174291.38,2016-09-23,191800,1500.0
1378,T21380,C3810971,1975-11-15,F,BANGALORE,54766.03,2016-09-23,191810,390.0
1379,T21381,C2534050,1984-10-29,M,CHENNAI,81869.64,2016-09-23,121226,330.85
1380,T21382,C4867335,1965-01-13,F,KHARAGPUR,21459.1,2016-09-23,132633,3405.0
1381,T21383,C7716889,1985-04-04,M,MUMBAI,52047.04,2016-09-23,132938,733.42
1382,T21384,C1912586,1990-06-17,M,BHUBANESHWAR,16002.08,2016-09-23,131417,10000.0
1383,T21385,C2473126,1980-02-02,F,MUMBAI,34128.38,2016-09-23,120916,28.0
1384,T21386,C2550473,1982-01-08,M,HYDERABAD,74994.11,2016-09-23,204741,1364.0
1385,T21387,C7738037,1992-03-27,M,DELHI,4.96,2016-09-23,204744,200.0
1386,T21388,C8210078,1992-07-22,M,CHENNAI,8292.21,2016-09-23,204746,450.0
1387,T21389,C7629986,1982-07-17,M,MURBAD RD KALYAN WEST,34317.87,2016-09-23,203129,2075.0
1388,T21390,C1975879,1979-07-18,F,HYDERABAD,142.46,2016-09-23,184415,2354.0
1389,T21391,C7010725,1985-10-27,M,KANNUR,7164.09,2016-09-23,204126,649.0
1390,T21392,C7279744,1988-02-08,F,PUNE,55584.25,2016-09-23,204653,640.0
1391,T21393,C5524886,1985-10-04,M,VADODARA,15913.86,2016-09-23,203905,100.0
1392,T21394,C3688057,1991-03-16,M,GURGAON,142375.29,2016-09-23,203910,863.0
1393,T21395,C7327248,1984-03-18,M,AHMEDABAD,3964.82,2016-09-23,203915,500.0
1394,T21396,C1822472,1954-01-22,F,MUMBAI,1741015.08,2016-09-23,202738,1415.0
1395,T21397,C6442367,1985-01-11,M,PUNE,26584.03,2016-09-23,134922,488.0
1396,T21398,C2710859,1989-01-31,M,GURGAON,41379.45,2016-09-23,203532,550.0
1397,T21399,C7333178,1995-06-21,F,NORBURY,753575.35,2016-09-23,203745,999.0
1398,T21400,C7023917,1991-09-25,F,NAVI MUMBAI,4955.63,2016-09-23,203745,880.0
1399,T21401,C1528947,1968-08-25,M,RAJAMUNDRY,92908.42,2016-09-23,184826,200.0
1400,T21402,C1825070,1993-11-12,M,BANGALORE,227655.32,2016-09-23,190416,1172.0
1401,T21403,C4118257,1981-02-26,M,HYDERABAD,2083.48,2016-09-23,202939,2490.0
1402,T21404,C1841779,1991-08-01,M,MUMBAI,12450.75,2016-09-23,115406,297.0
1403,T21405,C1112313,1974-03-07,M,KHORDHA,59527.08,2016-09-23,211217,566.0
1405,T21407,C6712664,1994-04-01,F,DELHI,273452.12,2016-09-23,190341,2480.0
1406,T21408,C5541512,1983-12-19,M,CHENNAI,264172.47,2016-09-23,204429,215.0
1407,T21409,C1316379,1982-02-10,M,THANE,13504.55,2016-09-23,204546,310.0
1408,T21410,C1621540,1970-12-18,M,PALAKKAD,192031.6,2016-09-23,191310,795.0
1409,T21411,C4120468,1985-06-03,M,RAIPUR,9056.64,2016-09-23,190232,180.0
1411,T21413,C1840366,1977-05-31,M,WARANGAL,32804.46,2016-09-23,203239,200.0
1412,T21414,C7482047,1993-01-30,M,CHENNAI,13352.21,2016-09-23,202702,2169.0
1413,T21415,C7429973,1985-11-09,F,DELHI,54857.26,2016-09-23,204552,1590.0
1414,T21416,C1024553,1991-01-29,F,PANCHAYATH PATHANAMTHITTA,12148.98,2016-09-23,120530,38.28
1415,T21417,C2838319,1994-05-03,M,BUDAUN,10919.0,2016-09-23,140208,14.0
1416,T21418,C6712881,1989-11-10,M,NEW DELHI,9462.17,2016-09-23,41000,60.0
1417,T21419,C7335281,1984-01-04,F,GURGAON,23225.53,2016-09-23,205739,384.0
1418,T21420,C3022721,1989-11-01,M,GUWAHATI,24091.12,2016-09-23,210035,116.16
1419,T21421,C6827783,1990-11-23,F,IMPHAL,800.96,2016-09-23,190856,400.0
1420,T21422,C2011066,1977-08-26,M,VAPI,34661.24,2016-09-23,191052,1000.0
1421,T21423,C4932418,1994-05-31,F,KASARAGOD,17854.17,2016-09-23,204638,46.0
1422,T21424,C5026778,1988-10-11,M,GURGAON,21245.24,2016-09-23,204110,620.0
1423,T21425,C2336691,1984-01-05,M,GURGAON,19739.95,2016-09-23,112504,200.0
1424,T21426,C1176422,1980-03-21,F,PUNE,14088.72,2016-09-23,120704,525.0
1425,T21427,C4511636,1984-03-17,M,BALGA,52910.12,2016-09-23,120238,150.0
1426,T21428,C1010249,1990-09-04,F,FARIDABAD,20227.36,2016-09-23,140118,263.0
1427,T21429,C5913687,1966-10-28,M,DWARKA (DELHI),26740.58,2016-09-23,112052,5543.0
1428,T21430,C2013323,1986-06-20,M,JODHPUR,125846.77,2016-09-23,211133,2536.0
1429,T21431,C6622956,1978-07-31,M,DELHI,97.06,2016-09-23,211133,400.0
1430,T21432,C8410176,1969-05-25,F,MUMBAI,2282.2,2016-09-23,204934,537.2
1431,T21433,C3019879,1976-06-01,M,GURGAON,254752.29,2016-09-23,204934,600.0
1432,T21434,C3612319,1986-06-20,M,KARIMNAGAR,3252.58,2016-09-23,203751,71.45
1433,T21435,C7515089,1990-04-18,M,BHIWANI,7945.68,2016-09-23,203645,510.0
1434,T21436,C7124566,1989-07-20,F,HYDERABAD,18177.83,2016-09-23,191722,260.0
1435,T21437,C3334938,1973-12-31,M,NORTH 24 PARGANAS,1.46,2016-09-23,211926,356.0
1436,T21438,C4410525,1985-09-29,M,GURGAON,21734.43,2016-09-23,120857,231.64
1437,T21439,C6822629,1985-09-25,M,DELHI,189581.64,2016-09-23,133844,291.0
1439,T21441,C2230179,1987-12-04,M,BANGALORE,91248.4,2016-09-23,134918,200.0
1440,T21442,C5011558,1976-08-24,M,NEW DELHI,38684.14,2016-09-23,121254,500.0
1441,T21443,C5817773,1978-12-26,M,BANGALORE,32411.38,2016-09-23,120922,900.0
1442,T21444,C1414255,1975-04-09,F,CHENNAI,11399.85,2016-09-23,121043,1140.0
1443,T21445,C4323914,1985-08-27,F,GURGAON,11696.05,2016-09-23,203009,808.0
1444,T21446,C8661615,1989-03-07,F,DELHI,676593.88,2016-09-23,203018,1167.0
1445,T21447,C3216267,1982-06-25,M,LUDHIANA,18860.1,2016-09-23,203451,1325.0
1446,T21448,C6320218,1994-02-20,F,CHENNAI,102288.18,2016-09-23,190924,150.0
1447,T21449,C2272349,1979-01-05,F,BANGALORE,118389.02,2016-09-23,190746,2049.0
1448,T21450,C1740832,1992-12-09,M,THANE,53211.81,2016-09-23,190501,297.0
1449,T21451,C3151323,1986-09-24,M,BANGALURU,997809.44,2016-09-23,190750,1371.0
1450,T21452,C6787253,1983-03-21,M,GHAZIABAD,395444.15,2016-09-23,210027,7000.0
1451,T21453,C6162063,1992-10-29,M,DEHRADUN,4303.45,2016-09-23,210916,243.0
1452,T21454,C2342530,1985-02-18,M,THANE,32.41,2016-09-23,210919,300.0
1453,T21455,C4012386,1989-09-30,M,DELHI,43.46,2016-09-23,210922,650.0
1454,T21456,C7522192,1985-07-23,F,LUCKNOW,16978.37,2016-09-23,112430,300.0
1455,T21457,C5417444,1993-10-19,M,NOIDA,20769.1,2016-09-23,135537,512.0
1456,T21458,C5042713,1975-11-23,M,NANDIVALI KALYAN EST,41004.35,2016-09-23,204212,348.0
1457,T21459,C2735312,1992-07-01,F,LUDHIANA,6560.52,2016-09-23,204423,32.0
1458,T21460,C8938389,1987-04-12,F,DELHI,5352.11,2016-09-23,204425,100.0
1459,T21461,C1417520,1990-06-16,M,KOLKATA,1218.8,2016-09-23,204425,791.0
1460,T21462,C1226656,1987-03-01,M,NASHIK,16775.05,2016-09-23,204513,386.0
1461,T21463,C8837245,1981-10-18,M,ROURKELA,13073.49,2016-09-23,204317,598.13
1462,T21464,C7429626,1979-08-13,M,GURGAON,71374.23,2016-09-23,204848,843.0
1463,T21465,C5214683,1996-11-30,M,DELHI,632.53,2016-09-23,204629,100.85
1464,T21466,C8437058,1987-01-09,M,NEW DELHI,21823.38,2016-09-23,204938,208.0
1465,T21467,C1913160,1987-09-23,F,LUDHIANA,519579.79,2016-09-23,211330,2202.0
1466,T21468,C4757085,1987-06-26,M,SAS NAGAR,637198.56,2016-09-23,211616,718.0
1467,T21469,C2823417,1983-04-16,F,MUMBAI,16213.85,2016-09-23,211623,168.26
1468,T21470,C8420520,1977-10-10,M,FARRUKHABAD,18.79,2016-09-23,211515,110.0
1470,T21472,C8217587,1976-03-23,M,GURGAON,1828694.68,2016-09-23,133936,25.0
1471,T21473,C3684513,1994-04-25,F,BANGALORE,179.34,2016-09-23,133937,50.0
1472,T21474,C3815525,1981-01-17,M,MUMBAI,16.3,2016-09-23,134200,297.0
1473,T21475,C4613687,1991-04-04,M,PASCHIM MEDINIPUR,346.88,2016-09-23,121412,501.0
1475,T21477,C1828519,1980-01-10,M,GHAZIABAD,20177.9,2016-09-23,190439,1556.0
1476,T21478,C3920675,1977-07-15,M,NEW DELHI,56663.45,2016-09-23,192115,99.0
1477,T21479,C3343680,1989-05-08,M,UDAIPUR,75.39,2016-09-23,192406,60.0
1478,T21480,C7485349,1991-11-17,F,CHENNAI,39854.37,2016-09-23,192255,1013.0
1481,T21483,C7310366,1990-03-30,M,THANE,22745.54,2016-09-23,121537,1997.0
1482,T21484,C1379832,1979-06-24,F,MUMBAI,1016584.39,2016-09-23,121542,900.0
1483,T21485,C3611668,1989-02-15,F,GHAZIABAD,9493.1,2016-09-23,193318,125.0
1484,T21486,C6741722,1990-08-28,M,DHARUHERA,13003.72,2016-09-23,193519,1010.0
1485,T21487,C3941027,1989-12-30,M,DELHI,2955.75,2016-09-23,192417,350.0
1486,T21488,C8019449,1940-12-11,F,MUMBAI,460711.73,2016-09-23,193346,4286.0
1487,T21489,C8210047,1991-10-31,M,DELHI,17594.07,2016-09-23,193349,650.8
1488,T21490,C5326588,1984-11-08,M,PANAJI,30428.21,2016-09-23,193400,3920.0
1490,T21492,C3920775,1978-10-14,M,DELHI,35602.77,2016-09-23,114437,500.0
1491,T21493,C3128148,1992-09-23,F,GURGAON,21936.41,2016-09-23,121533,572.0
1492,T21494,C7797271,1964-01-06,M,PUNE,19657.28,2016-09-23,193043,138.82
1493,T21495,C3137549,1966-11-04,M,THANE,90928.28,2016-09-23,193044,1700.0
1494,T21496,C5333492,1990-06-16,M,BHIWANI,4227.49,2016-09-23,192241,159.0
1495,T21497,C2735259,1996-12-30,M,ALWAR,39670.01,2016-09-23,193630,110.0
1496,T21498,C8424739,1991-11-08,F,KANPUR,179848.2,2016-09-23,194113,159.0
1497,T21499,C6724648,1981-11-16,F,GURGAON,151688.93,2016-09-23,195823,1199.0
1499,T21501,C1726432,1990-06-01,M,NEW DELHI,118.13,2016-09-23,130749,500.0
1500,T21502,C4231022,1984-05-10,M,NEW DELHI,58763.93,2016-09-23,124603,500.0
1501,T21503,C6726231,1977-04-22,F,DELHI,19148.75,2016-09-23,115012,140.0
1502,T21504,C8269550,1997-08-08,M,SHIMOGA- DISTRICT,10.59,2016-09-23,123118,30.0
1503,T21505,C2020536,1974-05-15,M,CHENNAI,85526.82,2016-09-27,150945,1275.0
1504,T21506,C5420451,1977-03-09,F,MUMBAI,26872.89,2016-09-27,145659,732.0
1505,T21507,C2710445,1991-12-08,F,PETROL BUNK VISAKHAPATNAM,3291.48,2016-09-27,145951,271.0
1507,T21509,C2920632,1979-11-04,M,BENGALURU,17020.79,2016-09-27,143728,485.0
1508,T21510,C2688130,1978-10-25,M,GUWAHATI,750.92,2016-09-27,143732,100.0
1509,T21511,C1010977,1985-03-26,M,NEW DELHI,11564.34,2016-09-27,144550,800.0
1510,T21512,C7139933,1979-01-24,M,VISAKHAPATNAM,10269.47,2016-09-27,143855,500.0
1511,T21513,C4327279,1986-02-02,M,BANGALORE,89043.1,2016-09-23,191225,200.0
1512,T21514,C1112647,1988-10-17,F,DELHI,22109.4,2016-09-23,192926,2865.0
1513,T21515,C7634433,1974-01-03,M,BANGALORE,19874.47,2016-09-23,95332,500.0
1514,T21516,C1728226,1983-01-29,M,PUNE,35866.49,2016-09-27,150847,223.0
1515,T21517,C3911880,1991-09-13,M,BANGALORE,10398.72,2016-09-27,150927,1.0
1516,T21518,C3517377,1993-10-10,M,BANGALORE,9426.03,2016-09-23,190637,200.0
1517,T21519,C4123990,1992-10-01,M,DELHI,56249.16,2016-09-23,184225,50.0
1518,T21520,C5127263,1984-03-18,M,AHMEDABAD,3964.82,2016-09-23,204124,500.0
1519,T21521,C5666434,1989-07-23,M,VARANASI,4063.84,2016-09-23,204358,144.0
1520,T21522,C8541549,1984-11-04,F,BANGALORE,40741.23,2016-09-23,204359,1558.0
1521,T21523,C8733366,1986-09-20,F,BANGALORE,102936.82,2016-09-23,115946,799.0
1522,T21524,C2615773,1982-05-27,M,TRIVANDRUM,469.67,2016-09-23,73702,20.0
1523,T21525,C7187273,1986-10-08,F,CHENNAI,63712.31,2016-09-23,111106,200.0
1524,T21526,C8042251,1980-05-16,M,NAGPUR,12041.08,2016-09-23,110622,154.0
1525,T21527,C7937681,1974-06-10,M,GURGAON,199907.75,2016-09-23,110910,1810.0
1526,T21528,C7627962,1984-03-06,M,KANPUR NAGAR,31828.27,2016-09-23,112941,848.65
1527,T21529,C2637618,1991-03-08,M,THANE,37886.28,2016-09-23,190610,960.0
1528,T21530,C8925175,1984-01-24,M,HYDERABAD,4179.11,2016-09-23,191743,200.0
1529,T21531,C4642971,1957-01-09,M,VISAKHAPATNAM,141126.35,2016-09-23,191743,2549.0
1530,T21532,C3610034,1987-05-21,M,AHMEDABAD,7051.72,2016-09-23,191744,20.0
1532,T21534,C3819019,1985-02-25,M,FARIDABAD,671.45,2016-09-23,113023,604.0
1533,T21535,C7612065,1986-01-06,F,GURGAON,21431.83,2016-09-23,113036,348.0
1534,T21536,C3732690,1990-10-10,F,GURGAON,65263.97,2016-09-23,120747,30.0
1535,T21537,C6038753,1986-10-06,F,MULUND EAST,87235.6,2016-09-23,191128,603.0
1536,T21538,C3117836,1987-08-21,M,GURGAON,12941.75,2016-09-23,191131,500.0
1537,T21539,C2225842,1964-05-18,M,MUMBAI,244537.92,2016-09-23,191338,340.0
1538,T21540,C3930827,1976-10-09,M,NEW DELHI,1088.21,2016-09-23,190721,25.0
1539,T21541,C1394712,1975-06-01,M,MUMBAI,79916.93,2016-09-23,184425,2000.0
1540,T21542,C5121030,1996-06-07,M,FIROZABAD,1588.89,2016-09-23,184430,50.0
1542,T21544,C1031044,1986-07-21,M,MUMBAI,87450.08,2016-09-23,185207,999.0
1543,T21545,C1915182,1981-05-22,F,NEW DELHI,529718.12,2016-09-23,113155,250.0
1544,T21546,C7915569,1979-01-26,M,KOLKATA,7889.63,2016-09-23,112550,19260.0
1545,T21547,C3215447,1987-07-30,F,MUMBAI,12434.15,2016-09-23,111839,16.0
1546,T21548,C1528819,1987-09-04,M,MUMBAI,92960.14,2016-09-23,184548,210.0
1547,T21549,C1811672,1988-10-13,M,GURGAON,66251.44,2016-09-23,184757,250.0
1548,T21550,C5738817,1991-10-29,F,NAGAPATTINAM,42847.76,2016-09-23,185557,595.0
1549,T21551,C8236961,1989-06-12,F,MUMBAI,142615.35,2016-09-23,184649,155.0
1550,T21552,C6016665,1991-11-11,F,DELHI,51765.29,2016-09-23,184747,549.19
1551,T21553,C5041327,1985-04-04,F,CHIKKABALLAPUR DIST,85952.86,2016-09-23,184747,304.0
1552,T21554,C5938468,1992-05-17,M,AURANGABAD,2292.64,2016-09-23,184943,1250.0
1553,T21555,C5362414,1978-03-01,M,BANGALORE,3244918.19,2016-09-23,192635,17335.0
1554,T21556,C3827967,1994-06-19,M,RAJPURA,91396.67,2016-09-23,111853,1092.0
1555,T21557,C5242476,1990-08-27,M,BANGALORE,35450.96,2016-09-23,111726,1136.0
1556,T21558,C7337076,1984-01-01,M,KORAPUT,1481.88,2016-09-23,114750,25.0
1557,T21559,C8524214,1995-02-03,F,MEDAK,3793.42,2016-09-23,124339,24.0
1558,T21560,C6889733,1980-11-27,F,GURGAON,85432.77,2016-09-23,185018,1903.65
1559,T21561,C1814216,1989-12-22,M,MOHALI,21508.33,2016-09-23,192303,180.0
1560,T21562,C5710024,1992-05-28,M,GANDHINAGAR,144.57,2016-09-23,121222,97.0
1561,T21563,C1542589,1983-05-13,M,HYDERABAD,52779.42,2016-09-23,123515,364.3
1562,T21564,C4824952,1991-12-30,F,BILASPUR,19554.77,2016-09-23,185856,612.0
1563,T21565,C2241311,1991-12-12,M,GHAZIABAD,10724.82,2016-09-23,185947,200.0
1564,T21566,C5023434,1989-05-14,M,NELLORE,15619.66,2016-09-23,185040,370.0
1565,T21567,C2588871,1987-01-21,F,GURGAON,146045.39,2016-09-23,192208,238.0
1566,T21568,C6838368,1976-11-06,F,BANGALORE,20852.83,2016-09-23,192147,5390.0
1567,T21569,C5433373,1988-01-31,M,NEW DELHI,13558.58,2016-09-23,191931,100.0
1568,T21570,C7516035,1989-11-05,F,KOZHIKODE,3684.15,2016-09-23,190550,154.0
1569,T21571,C4326676,1971-02-21,M,MUMBAI,27693.73,2016-09-23,114438,656.0
1570,T21572,C4014567,1965-05-10,M,JAIPUR,97797.91,2016-09-23,114652,2197.0
1571,T21573,C4740862,1987-03-21,F,THANE,92.57,2016-09-23,115011,150.0
1572,T21574,C3864918,1991-01-04,F,NILGONDA,14140.74,2016-09-23,112712,580.0
1573,T21575,C1811682,1983-12-05,M,GUNTUR,4469.76,2016-09-23,122812,281.94
1574,T21576,C1930840,1990-09-20,F,MUMBAI,103006.5,2016-09-23,115206,1799.0
1575,T21577,C6773242,1988-01-06,M,PARK PHASE 1 HINJEWADI PUNE,44721.35,2016-09-23,120757,3425.41
1576,T21578,C3723952,1990-01-03,M,CHANDIGARH,163073.38,2016-09-23,114916,194.0
1577,T21579,C7911737,1989-05-08,M,NEW DELHI,33414.87,2016-09-23,123233,200.0
1578,T21580,C6928182,1980-02-13,M,NOIDA,21888.97,2016-09-23,185137,464.0
1579,T21581,C5619682,1988-11-30,F,CHENNAI,19548.95,2016-09-23,185119,3752.5
1580,T21582,C5242580,1983-08-27,F,GURGAON,37491.97,2016-09-23,193352,1730.0
1581,T21583,C8629746,1997-09-15,F,PUNE,5735.93,2016-09-23,191150,53.0
1582,T21584,C6033915,1987-05-30,F,BARIATU ROAD RANCHI,27412.77,2016-09-23,190944,395.0
1583,T21585,C1332372,1980-02-14,M,NATHDWARA,9712.06,2016-09-23,191127,20.0
1584,T21586,C5033850,1987-12-04,M,BISHALGARH,9963.78,2016-09-23,115654,337.0
1585,T21587,C2636828,1984-09-11,F,MUMBAI,95895.14,2016-09-23,122624,2924.0
1586,T21588,C8122469,1993-04-06,M,THANE,7027.26,2016-09-23,115706,220.0
1587,T21589,C3012828,1981-07-09,F,BANGALORE,174175.13,2016-09-23,120000,8030.0
1588,T21590,C2339923,1989-07-04,M,BIJNOR,10721.24,2016-09-23,121317,30.0
1589,T21591,C3057928,1990-11-17,M,AMRITSAR,10537.76,2016-09-23,120940,137.0
1591,T21593,C1316457,1990-02-07,M,DELHI,1430.26,2016-09-23,190345,100.0
1592,T21594,C6841466,1971-02-10,M,BANGALORE,36787.84,2016-09-23,190533,440.0
1593,T21595,C5281548,1991-02-04,M,GUNTUR,15552.41,2016-09-23,191020,113.0
1594,T21596,C8823853,1989-01-11,M,GHAZIABAD,16391.91,2016-09-23,120934,1698.0
1595,T21597,C3916155,1987-01-07,M,GHAZIABAD,27390.16,2016-09-23,123533,1236.0
1596,T21598,C2822372,1994-11-10,F,GHAZIABAD,10056.47,2016-09-23,121437,1200.0
1597,T21599,C3141643,1976-01-04,M,NEW DELHI,1127884.63,2016-09-23,192828,27830.0
1598,T21600,C4914649,1990-08-31,M,FARIDABAD,53818.49,2016-09-23,190347,255.0
1599,T21601,C3433612,1983-12-08,M,MUMBAI,2277.32,2016-09-23,191747,610.36
1600,T21602,C8331342,1988-09-28,M,JAIPUR,174.77,2016-09-23,194625,784.58
1601,T21603,C8450111,1990-11-28,M,MUMBAI,9103.15,2016-09-23,112608,70.0
1602,T21604,C5024187,1992-08-01,M,BELGAUM,49.54,2016-09-23,112611,314.08
1603,T21605,C7430916,1989-03-18,M,GREATER NOIDA,2203.84,2016-09-23,121134,10.0
1604,T21606,C3832369,1947-01-07,M,NEW DELHI,187.48,2016-09-23,121146,150.0
1605,T21607,C2267352,1987-10-01,M,LUDHIANA,262.84,2016-09-23,115107,50.0
1606,T21608,C1816812,1992-01-17,M,GURGAON,16486.01,2016-09-23,190416,1506.0
1607,T21609,C8222259,1978-07-05,M,NEW DELHI,292.63,2016-09-23,190322,118.0
1608,T21610,C3641477,1971-02-10,M,BANGALORE,36787.84,2016-09-23,190323,846.0
1609,T21611,C4921540,1987-01-01,M,BARAMATI,5363.63,2016-09-23,194616,1050.0
1610,T21612,C6415048,1991-03-14,M,NEW DELHI,23.14,2016-09-23,194618,225.0
1611,T21613,C7015127,1988-09-26,M,NEW DELHI,78003.52,2016-09-23,191813,235.0
1612,T21614,C2426570,1984-11-08,M,PANAJI,30428.21,2016-09-23,191740,898.0
1613,T21615,C8926847,1992-06-27,M,CACHAR,12.11,2016-09-23,195751,67.0
1614,T21616,C7211752,1974-01-07,M,COTTON GREEN WEST MUMBAI,7424.6,2016-09-23,200142,234.0
1615,T21617,C9052644,1981-08-10,M,AJMER,125485.66,2016-09-23,120954,696.0
1616,T21618,C5123459,1951-04-17,M,CHANDIGARH,995375.6,2016-09-23,120859,5000.0
1617,T21619,C3117062,1972-07-08,F,RANGA REDDY,69527.34,2016-09-23,120931,425.82
1618,T21620,C5221162,1983-10-17,M,NEW DELHI,15111.11,2016-09-23,120933,15260.0
1619,T21621,C8420169,1988-01-02,M,AMRITSAR,22441.66,2016-09-23,123158,250.0
1620,T21622,C1629038,1995-08-16,F,DELHI,72063.11,2016-09-23,123604,1553.1
1621,T21623,C7835829,1990-07-31,F,GURGAON,62693.18,2016-09-23,115115,100.0
1622,T21624,C1732119,1992-01-01,M,BAHADURGARH,3203.85,2016-09-23,191716,500.0
1623,T21625,C3724191,1991-11-05,F,NEW DELHI,33.52,2016-09-23,190827,1794.0
1624,T21626,C8140641,1993-01-07,F,HYDERABAD,103.07,2016-09-23,191138,180.0
1625,T21627,C4535992,1990-02-04,M,DELHI,212.88,2016-09-23,190456,150.0
1627,T21629,C8938951,1989-06-26,F,BANGALORE,337.1,2016-09-23,191222,1000.0
1628,T21630,C3038287,1990-01-28,M,SHILLLONG,10677.64,2016-09-23,112315,28.0
1629,T21631,C6022867,1994-03-18,M,PALI,1253.71,2016-09-23,14935,50.0
1630,T21632,C8040244,1950-12-12,M,MUMBAI,238214.05,2016-09-23,94935,40.84
1631,T21633,C5832822,1981-12-09,M,BANGALORE,3235.75,2016-09-23,123725,890.0
1632,T21634,C4921154,1971-01-30,F,NEW DELHI,77106.82,2016-09-23,112612,4946.0
1633,T21635,C1542466,1974-01-26,F,NEW DELHI,3811.41,2016-09-23,114345,8900.0
1634,T21636,C4620772,1978-04-16,M,NELLORE,40543.94,2016-09-23,112754,445.0
1635,T21637,C7888852,1979-10-25,M,MUMBAI,9995.52,2016-09-23,112530,620.0
1636,T21638,C5319444,1980-05-14,M,KOTA,13023.89,2016-09-23,123431,500.0
1637,T21639,C5824960,1994-01-08,M,NEW DELHI,8192.99,2016-09-23,122034,500.0
1638,T21640,C1544121,1989-05-05,M,GURGAON,59697.95,2016-09-23,191832,198.86
1639,T21641,C4228153,1990-10-29,M,BANGALORE,94649.0,2016-09-23,191833,390.0
1640,T21642,C3631525,1987-02-01,M,GURGAON,2805.16,2016-09-23,191759,360.0
1642,T21644,C1610214,1990-09-09,M,MUMBAI,1713.64,2016-09-23,192657,10.0
1643,T21645,C3223730,1976-07-01,F,KOLKATA,88424.09,2016-09-23,121312,3440.0
1644,T21646,C8136668,1975-05-05,M,KOLKATA,87823.95,2016-09-23,121901,1000.0
1645,T21647,C4740332,1987-06-28,M,SHAHJAHANPUR,17507.6,2016-09-23,122650,13.0
1646,T21648,C2227661,1984-09-27,M,MUMBAI,114.22,2016-09-23,115250,150.0
1647,T21649,C2739035,1990-05-18,M,AHMEDABAD,2479.31,2016-09-23,195232,15000.0
1648,T21650,C7241450,1973-05-10,M,NOIDA,641044.5,2016-09-23,195233,1095.31
